rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir,Acro_7,Acro_8,fall
2052,A,A,Rock'n'Roll-Main Class Start,Final,1,286,1,-5,-15,-15,-5,-35,-50,0,171,-1,-1,0
2052,A,A,Rock'n'Roll-Main Class Start,Final,2,119,1,-5,-15,-25,0,-5,-10,0,171,-1,-1,0
2052,A,A,Rock'n'Roll-Main Class Start,Final,3,142,1,0,-5,-5,-5,0,-10,0,171,-1,-1,0
2052,A,A,Rock'n'Roll-Main Class Start,Final,4,226,1,-10,-5,-10,-10,-10,-15,0,171,-1,-1,0
2052,A,A,Rock'n'Roll-Main Class Start,Final,5,323,1,-35,-25,-10,-10,-35,-1,0,171,-1,-1,0
2052,A,A,Rock'n'Roll-Main Class Start,Final,6,288,1,-10,-15,-25,-75,-50,-1,0,171,-1,-1,0
2052,C,A,Rock'n'Roll-Main Class Start,Final,1,286,3,-15,-35,-25,-15,-35,-50,0,171,-1,-1,0
2052,C,A,Rock'n'Roll-Main Class Start,Final,2,119,3,-15,-35,-50,-25,-35,-25,0,171,-1,-1,0
2052,C,A,Rock'n'Roll-Main Class Start,Final,3,142,3,-10,-10,-15,-15,-15,-15,0,171,-1,-1,0
2052,C,A,Rock'n'Roll-Main Class Start,Final,4,226,3,-25,-10,-15,-25,-25,-35,0,171,-1,-1,0
2052,C,A,Rock'n'Roll-Main Class Start,Final,5,323,3,-50,-35,-25,-25,-75,-1,0,171,-1,-1,0
2052,C,A,Rock'n'Roll-Main Class Start,Final,6,288,3,-35,-25,-35,-100,-75,-1,0,171,-1,-1,0
2052,D,A,Rock'n'Roll-Main Class Start,Final,1,286,4,-5,-15,-15,-15,-25,-50,0,171,-1,-1,0
2052,D,A,Rock'n'Roll-Main Class Start,Final,2,119,4,-10,-15,-35,-10,-10,-35,0,171,-1,-1,0
2052,D,A,Rock'n'Roll-Main Class Start,Final,3,142,4,-10,-10,-15,0,-25,-5,0,171,-1,-1,0
